"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"210.2887","0","CLICK User:1 Request:1"
"574.9278","0","CLICK User:2 Request:1"
"1082.8747","0","CLICK User:3 Request:1"
"1585.1154","0","CLICK User:4 Request:1"
"2091.6188","0","CLICK User:5 Request:1"
"2592.2062","0","CLICK User:6 Request:1"
"3071.4797","0","CLICK User:7 Request:1"
"3575.9388","0","CLICK User:8 Request:1"
"4104.0653","0","CLICK User:9 Request:1"
"4607.5268","0","CLICK User:10 Request:1"
"5113.4395","0","CLICK User:11 Request:1"
"5617.191","0","CLICK User:12 Request:1"
"6121.0351","0","CLICK User:13 Request:1"
"6624.3097","0","CLICK User:14 Request:1"
"7128.8699","0","CLICK User:15 Request:1"
"7632.2802","0","CLICK User:16 Request:1"
"8136.0094","0","CLICK User:17 Request:1"
"8637.6809","0","CLICK User:18 Request:1"
"9041.5014","0","CLICK User:19 Request:1"
"9544.0594","0","CLICK User:20 Request:1"
"10686.1235","0","CLICK User:1 Request:2"
"11459.6116","0","CLICK User:2 Request:2"
"11964.8706","0","CLICK User:3 Request:2"
"12045.0007","0","CLICK User:4 Request:2"
"12578.4117","0","CLICK User:5 Request:2"
"13510.6212","0","CLICK User:6 Request:2"
"14403.5339","0","CLICK User:7 Request:2"
"14490.89","0","CLICK User:8 Request:2"
"15425.015","0","CLICK User:9 Request:2"
"15901.2544","0","CLICK User:10 Request:2"
"16001.2534","0","CLICK User:11 Request:2"
"16504.916","0","CLICK User:12 Request:2"
"17426.3229","0","CLICK User:13 Request:2"
"17516.2559","0","CLICK User:14 Request:2"
"18015.1574","0","CLICK User:15 Request:2"
"18116.7036","0","CLICK User:16 Request:2"
"18617.5468","0","CLICK User:17 Request:2"
"19121.6755","0","CLICK User:18 Request:2"
"19528.9099","0","CLICK User:19 Request:2"
"20447.4898","0","CLICK User:20 Request:2"
"21149.9856","0","CLICK User:1 Request:3"
"22312.0171","0","CLICK User:2 Request:3"
"22610.0972","0","CLICK User:4 Request:3"
"22823.4705","0","CLICK User:3 Request:3"
"23026.6035","0","CLICK User:5 Request:3"
"24394.9365","0","CLICK User:6 Request:3"
"25381.8679","0","CLICK User:8 Request:3"
"25701.4096","0","CLICK User:7 Request:3"
"26717.1543","0","CLICK User:9 Request:3"
"26876.4204","0","CLICK User:11 Request:3"
"27171.6629","0","CLICK User:10 Request:3"
"27351.7546","0","CLICK User:12 Request:3"
"28417.2593","0","CLICK User:14 Request:3"
"28566.9363","0","CLICK User:16 Request:3"
"28710.4988","0","CLICK User:13 Request:3"
"28881.3705","0","CLICK User:15 Request:3"
"29058.9686","0","CLICK User:17 Request:3"
"29562.4516","0","CLICK User:18 Request:3"
"29966.8976","0","CLICK User:19 Request:3"
"31341.5082","0","CLICK User:20 Request:3"
"31595.2531","0","CLICK User:1 Request:4"
"33061.5886","0","CLICK User:4 Request:4"
"33166.2173","0","CLICK User:2 Request:4"
"33470.319","0","CLICK User:5 Request:4"
"33675.3824","0","CLICK User:3 Request:4"
"35285.7078","0","CLICK User:6 Request:4"
"36263.1724","0","CLICK User:8 Request:4"
"36991.6904","0","CLICK User:7 Request:4"
"37814.5991","0","CLICK User:11 Request:4"
"37998.916","0","CLICK User:9 Request:4"
"38206.9151","0","CLICK User:12 Request:4"
"38446.1668","0","CLICK User:10 Request:4"
"39002.0314","0","CLICK User:16 Request:4"
"39302.1032","0","CLICK User:14 Request:4"
"39500.2463","0","CLICK User:17 Request:4"
"39748.3272","0","CLICK User:15 Request:4"
"39982.6131","0","CLICK User:13 Request:4"
"40015.3558","0","CLICK User:18 Request:4"
"40417.7877","0","CLICK User:19 Request:4"
"42033.7499","0","CLICK User:1 Request:5"
"42224.0608","0","CLICK User:20 Request:4"
"43534.1289","0","CLICK User:4 Request:5"
"43926.0947","0","CLICK User:5 Request:5"
"44037.1107","0","CLICK User:2 Request:5"
"44541.0243","0","CLICK User:3 Request:5"
"46158.0768","0","CLICK User:6 Request:5"
"47149.8591","0","CLICK User:8 Request:5"
"48261.1858","0","CLICK User:7 Request:5"
"48683.7532","0","CLICK User:11 Request:5"
"49079.0479","0","CLICK User:12 Request:5"
"49273.9676","0","CLICK User:9 Request:5"
"49462.8933","0","CLICK User:16 Request:5"
"49722.4121","0","CLICK User:10 Request:5"
"49956.7613","0","CLICK User:17 Request:5"
"50170.1807","0","CLICK User:14 Request:5"
"50472.8761","0","CLICK User:18 Request:5"
"50620.266","0","CLICK User:15 Request:5"
"50885.0046","0","CLICK User:19 Request:5"
"51263.3308","0","CLICK User:13 Request:5"
"52488.4138","0","CLICK User:1 Request:6"
"53092.2079","0","CLICK User:20 Request:5"
"53980.3559","0","CLICK User:4 Request:6"
"54371.5677","0","CLICK User:5 Request:6"
"54890.8379","0","CLICK User:2 Request:6"
"55390.8014","0","CLICK User:3 Request:6"
"57041.1507","0","CLICK User:6 Request:6"
"58132.8078","0","CLICK User:8 Request:6"
"59548.2377","0","CLICK User:7 Request:6"
"59563.0674","0","CLICK User:11 Request:6"
"59916.5694","0","CLICK User:16 Request:6"
"59935.5206","0","CLICK User:12 Request:6"
"60408.2715","0","CLICK User:17 Request:6"
"60558.4897","0","CLICK User:9 Request:6"
"60924.0536","0","CLICK User:18 Request:6"
"61013.1482","0","CLICK User:10 Request:6"
"61048.0319","0","CLICK User:14 Request:6"
"61341.3208","0","CLICK User:19 Request:6"
"61513.2224","0","CLICK User:15 Request:6"
"62554.5573","0","CLICK User:13 Request:6"
"62928.4991","0","CLICK User:1 Request:7"
"63969.5298","0","CLICK User:20 Request:6"
"64424.0309","0","CLICK User:4 Request:7"
"64812.6309","0","CLICK User:5 Request:7"
"65740.4309","0","CLICK User:2 Request:7"
"66249.878","0","CLICK User:3 Request:7"
"67922.2691","0","CLICK User:6 Request:7"
"69022.6514","0","CLICK User:8 Request:7"
"70360.4081","0","CLICK User:16 Request:7"
"70523.6374","0","CLICK User:11 Request:7"
"70787.1221","0","CLICK User:12 Request:7"
"70825.0059","0","CLICK User:7 Request:7"
"70845.3097","0","CLICK User:17 Request:7"
"71374.5996","0","CLICK User:18 Request:7"
"71787.6169","0","CLICK User:19 Request:7"
"71838.39","0","CLICK User:9 Request:7"
"71933.9328","0","CLICK User:14 Request:7"
"72318.3679","0","CLICK User:10 Request:7"
"72403.6688","0","CLICK User:15 Request:7"
"73373.9609","0","CLICK User:1 Request:8"
"73869.4941","0","CLICK User:13 Request:7"
"74865.7585","0","CLICK User:20 Request:7"
"74881.1692","0","CLICK User:4 Request:8"
"75257.646","0","CLICK User:5 Request:8"
"76594.3651","0","CLICK User:2 Request:8"
"77103.8002","0","CLICK User:3 Request:8"
"78798.5102","0","CLICK User:6 Request:8"
"79895.2128","0","CLICK User:8 Request:8"
"80809.4276","0","CLICK User:16 Request:8"
"81304.7085","0","CLICK User:17 Request:8"
"81388.1853","0","CLICK User:11 Request:8"
"81664.9195","0","CLICK User:12 Request:8"
"81827.2995","0","CLICK User:18 Request:8"
"82105.3688","0","CLICK User:7 Request:8"
"82247.0345","0","CLICK User:19 Request:8"
"82811.2976","0","CLICK User:14 Request:8"
"83131.9943","0","CLICK User:9 Request:8"
"83299.0939","0","CLICK User:15 Request:8"
"83611.3445","0","CLICK User:10 Request:8"
"83839.3793","0","CLICK User:1 Request:9"
"85150.2124","0","CLICK User:13 Request:8"
"85350.1719","0","CLICK User:4 Request:9"
"85727.095","0","CLICK User:5 Request:9"
"85752.4456","0","CLICK User:20 Request:8"
"87464.6658","0","CLICK User:2 Request:9"
"87969.8088","0","CLICK User:3 Request:9"
"89717.5987","0","CLICK User:6 Request:9"
"90798.3533","0","CLICK User:8 Request:9"
"91284.1137","0","CLICK User:16 Request:9"
"91761.9544","0","CLICK User:17 Request:9"
"92285.612","0","CLICK User:18 Request:9"
"92297.1354","0","CLICK User:11 Request:9"
"92522.6272","0","CLICK User:12 Request:9"
"92707.3769","0","CLICK User:19 Request:9"
"93403.5539","0","CLICK User:7 Request:9"
"93710.5556","0","CLICK User:14 Request:9"
"94181.8315","0","CLICK User:15 Request:9"
"94289.209","0","CLICK User:1 Request:10"
"94428.2475","0","CLICK User:9 Request:9"
"94900.8365","0","CLICK User:10 Request:9"
"95802.1556","0","CLICK User:4 Request:10"
"96174.8937","0","CLICK User:5 Request:10"
"96431.7508","0","CLICK User:13 Request:9"
"96634.321","0","CLICK User:20 Request:9"
"98322.8335","0","CLICK User:2 Request:10"
"98824.8262","0","CLICK User:3 Request:10"
"100605.8413","0","CLICK User:6 Request:10"
"101692.09","0","CLICK User:8 Request:10"
"101733.9632","0","CLICK User:16 Request:10"
"102212.7749","0","CLICK User:17 Request:10"
"102740.6035","0","CLICK User:18 Request:10"
"103158.3705","0","CLICK User:19 Request:10"
"103186.6649","0","CLICK User:11 Request:10"
"103381.8117","0","CLICK User:12 Request:10"
"104591.856","0","CLICK User:14 Request:10"
"104683.9463","0","CLICK User:7 Request:10"
"105065.8598","0","CLICK User:15 Request:10"
"105710.1133","0","CLICK User:9 Request:10"
"106184.0718","0","CLICK User:10 Request:10"
"107511.11","0","CLICK User:20 Request:10"
"107719.2207","0","CLICK User:13 Request:10"
